,nmId,text,rating,mood
10,165494801,"Всё отлично, полный комплект, даже с запасом. Собирать не долго и не сложно, но по инструкции понадобилось сверло.",4,2
11,165494802,"Хороший комод и столик, для за такие деньги ещё.",5,2
12,165494627,Всё в хорошем состоянии. Собрали за два часа.,5,2
13,165494625,"Пеленальный стол сломанный , углы отколоты! Возврат не одобряют и на сообщение продавец не отвечает! Деньги так и не вернул никто. Куда обращаться ? Очень ждала товар, жаль, что так вышло. На фото один из косяков.",1,0
14,165494625,"Пришло всё в отличной упаковке, в полной комплектации, спасибо.",5,2
15,165494625,"Все супер, в живую еще круче чем на фото, полная комплектация, все детали на месте, собрали быстро, никаких сколов и других недочетов, благодарю🙏🏻❤️
Пока не крепили к стене, но в дальнейшем планируем, не совсем поняли куда крепить?",5,2
16,165494800,Муж собрал достаточно быстро. Не было нескольких дырочек (где пеленальная доска). В целом хороший комод.,4,2
17,165494626,"Боялась заказывать этот комод из-за низкого рейтинга товара, боялась, что придет сломанный, но нам повезло, хороший комод
Был комментарий, насчет того, что не проделано отверстие в пеленальном столе, так оно и есть, но муж просто просверлил и доковырял. Одну сторону не получилось аккуратно, отлетел кусок дерева, но за слава богу не видно этого, перекрыто механизмом складывания.",5,2
18,165494801,"Все собрали, все детали хватает, есть видео инструкция,  есть бумажная. О том что надо сверлить в одном месте указано в инструкции. Единственное не поняли почему на дверце по 2 дырочки и сверху и снизу, и для ручек отверстие на сквозь не продырявлено. 
Матрасик заказывала отдельно на столик 60×60 я заказала матрасик 64×64, в идеале было бы 70×70 чтобы все борта были закрыты. Но этот тоже хорошо подошёл.",5,2
19,165494625,"Отличная вещь, производителю и продавцу сто звёзд, спасибо большое, советую этот товар 👍👍🤝",5,2
20,165494800,Все очень понравилось советую покупки￼👍,5,2
21,165494800,"Пеленальный комод за свою цену очень хороший. Не были просверлены некоторые отверстия (фото 1), в отзывах писали об этом, так что мы были готовы к этому, в инструкции про сверления не было информации. 
В целом, все устрвивает.",5,2
22,165494625,"Качество соответствует цена,собрали сами без проблем. Всё было на месте.",5,2
23,165494626,"Качество комода так себе-весь косой-кривой. Но с учетом цены и то, что он не на долгий срок-пойдет.",3,1
24,165494800,"Комод очень понравился. 
Доставка - во время, цена - приятная.
Товар соответствует описанию,
Минус - 2 отверстия пришлось сверлить самим, в остальном всё норм, все детальки были на месте.
(Минус, если пеленальный столик расправить, нужно быть очень осторожным, т.к. может упасть вреред. Сделали дополнительную фиксацию к стене.)",5,2
25,165494801,"Хороший пеленальный комод.
За свою цену вообще отлично. 👌",5,2
26,165494625,"Не хватает детали ,все собрали .
Так обидно за такие деньги💔",5,1
27,165494800,"Плюсы: полный комплект, всё на месте, собирается быстро, доставка быстрая, функционально.
Минусы: отверстия недосверлены, проиктировался как универсальный и есть лишние отверстия в дверках, при раскладывании подвижная сторона выше на 5 мм.",4,1
28,165494625,"По качеству материалов комод стоит своих денег, а вот по качеству укомплектования и некоторой фурнитуры есть вопросы, найдите 10 отличий называется. На самом пелинальном столике накосячили с комплектующими, либо 2 правый либо 2 левые откидные доски, придется сверлить отверстие самому",3,1
29,165494800,"Приехала коробка вся разбитая. Держалась на честном слове. Видимо со склада отгружали как мешок, кинули и всё. Почти все  углы побитые и помятые. Отверстия под раскладной столик и чтоб прикрутить ручку и на дверцы сверлили сами. Их просто не было. Если бы в наборе для крепления были саморезы, я бы ещё поняла. Но в комплекте идут обычные болты... Так что при сборке готовьте и сверло тоже.",3,0
30,165494801,"Ещё не собирали, только открыли уже видно вмятины. Это дверь и она повреждена",3,0
31,165494801,"Хорошего качества, компактный и одновременно вместительный, достаточно места для ребенка. Собирала сама, всё очень ясно и понятно по инструкции. Правда для крепления ручек и пеленальной поверхности нужно просверлить насквозь отверсия, но об этом я читала в комментариях, это не проблема. Очень довольна покупкой. Хорошая мебель.",5,2
32,165494800,"Из-за большого количества отрицательных отзывов долго сомневалась стоит ли заказывать , но нам повезло, комплектация полная , доски все  без сколов, да , как и у всех нам пришлось сверлить отверстия на выдвижных деталях , но муж без проблем это сделал, если делать все аккуратно и с умом то таких сколов как у многих не получится , да краска скололась чуть чуть но под болтами вообще не заметно (фото4), видно только на ручках не много (последнее фото) , там надо тоже просверливать отверстие самостоятельно, но с учетом цены в 3200 это все вообще мелочи, пеленальный столик открывается хорошо, без всяких зазоров, я довольна",5,2
33,165494625,"Комод хороший, собрала за пару часов. Много потертостей по краям стенок, буду маскировать акриловой краской. Шурупы и гвозди большая часть очень тупые, пришлось помучаться. А так очень удобный, классный",5,2
34,165494626,"Комод супер, очень компактный что удобно для тех кто зочет экономить место. все доски проверили , все отлично брака нет! Цена 🔥) рекомендую на 100%",5,2
35,165494626,"Пришол в хорошем состоянии , инструкция легкая . Все доски в идеальном состоянии .
Муж собрал быстро . 
За такую стоимость , идеальный вариант .",5,2
36,165494800,"Очень классный бюджетный комодик. Все пришло целое, без сколов как некоторые пишут. Внутри подробная инструкция, в которой кстати написано и про дырочки, что нужно самим досверлить, просто видимо многие невнимательно смотрят инструкцию. Муж собрал за 20 минут и отметил, что хорошие гвозди в комплекте. 
Единственное что заменили, это ручки на более эстетичные деревянные. Очень довольны комодиком!",5,2
37,165494802,"Комод прелестный😍 Муж собрал быстро и без проблем. Детали все на месте. Никаких сколов, трещин и перекосов. Красота👍 За такие деньги - подарок просто! Рекомендую.",5,2
38,165494801,"В полне приличный комод, малышу до 3 мес пользования...далее дите не поместиться ,при сборке некоторых отверстий не было ,делали все на месте,пришёл комод без сколов( за это отдельное спасибо) доп фиксация необходима ( предусмотрена в комплекте)  ,тк комод заваливается вперёд, в целом понравился ,думаю в дальнейшем можно использовать как обувницу.",5,2
39,165494625,"Комод компактный, но качество это ужас, все шурупы проворачиваются скрипят , сразу крошится всё белое покрытие , вот что значит( ЛДСП крошка ) , плюс размер маленький до полугода только хватит этого пеленальника. Направляющие для ящика не надолго , лучше покупать шариковые . Муж пока собирал весь изнервничался. Сказал я бы такой не купил.",1,0
40,165494802,"Спасибо всем, кто причастен к производству, доставке данного товара. Нам очень понравился пеленальный столик. Всё аккуратное, целое, болты (детали) все на  месте. Рекомендуем.",5,2
41,165494625,"Инструкции подробные, несколько раз пересматривала видео. Да, вопрос, почему не просверлено до конца? У нас так чисто, без сколов не получилось.
Есть небольшие сколы на панелях, в самом видном месте.  ***  но не критично. Хорошая фишка, крепление к стене для безопасности.
Но цена, цена решает все.",5,2
42,165494802,"Во первых упаковка, отлично упаковано, с пенопластом и тд, но приехала в скрытая коробка, просто закрученная скотчем и то еле еле, местами не правильно высверлены отверстия, но это ерунда, самое главное для петель очень уж не внушают доверия саморезы слишком узкие шляпки",5,2
43,165494801,"В комплект комода входили все детали. Цвет больше ч/б, по карточке товара думала что он молочный. 
По самой конструкции есть минусы: белая серединка задника вся кривая и словно сломанная, ели состыковали; у пеленальной части пришлось досверливать отверстия, чтобы вставить крепления. Сам материал комода достаточно рыхлый, поэтому нужно аккуратно закручивать все крепежи, иначе скривится",4,0
44,165494625,"Всё прекрасно! Все детали в наличии. Без сколов. Очень понравилось. Доставили быстро. Собрала сама.

Дополнительно нужна дрель для вырезки отверстия для крутящего механизма пеленальной полки. 
И нужна крестовая отвёртка. 

Собирала по видео. Всё легко✅",5,2
45,165494802,"Отличное качество , упаковка 10/10, в сборке очень прост🤝. Рассладывается идеально , рукчка в норме , дверки регулируются , никаких нареканий нет. Спасибо большое 🤗",5,2
46,165494625,Хороший комод,5,2
47,165494626,"Србирается достаточно легко,за свою цену комод идеальный,маленький ,но вместительный,пришел быстро и без брака😊",5,2
48,165494627,"Пришел быстро, без брака. Но тумбу лучше присверлить к стенке на уголок что в комплекте т.к. не очень устойчивая.",5,2
49,165494625,"Долго думали какую поставить оценку.
Сам комод хороший, вместительный, идеальный по высоте. 
НО!  Во многих деталях, где должны были быть сквозные отверстия- их не досверлили. Сделали это сами- из-за этого получились сколы. Большинство из них скрыты, но один очень заметен, придется как-то маскировать.",3,1
50,165494800,"Отличный удобный комод,да,есть небольшие сколы,но не критично,очень удобная система откидывание столика,не было просверлено пара отверстий,при сборке надо иметь шуруповерт и сверла,в остальном можно справиться и отвертками,собрала за полтора часа,с удовольствием",5,2
51,165494625,"Отличный комод еще и за 3300. Кое-что пришлось конечно просверлить (муж не очень понял прикол, почему нельзя было сделать сразу отверстия везде где необходимо), но в целом все хорошо. Все детали были в комплекте, комод не перекошен. По качеству сравним с мебелью икеа (к слову, если переусердствовать, то и там бывают сколы). Очень рада, что приобрели именно его.",5,2
52,165494625,"Целый, качественный. Ничем химическим не пахнет, фурнитура в полном комплекте. Пеленальная часть по инструкции крепится путем дополнительного сверления 2х отверстий. Это всё прописано в инструкции. Никаких сюрпризов. Муж собрал за 1,5 часа, вышло дольше, чем планировали, тк инструкция слишком мелким шрифтом))) это минус)) мееееелко, на маааааленькой бумажке)) 
И из нюансов - обратите внимание, что мягкую часть нужно докупать. Она не предусмотрена с комплекте.",5,2
53,165494800,"Отличный комод за такие деньги!
Да, пришлось досверливать боковые панели на откидном столике (благо сверла нужные нашлись). Как оказалось в инструкции прописано, что нужно досверливать отверстия насквозь, так что учтите это при заказе. А ручки решили не приделывать и без них дверцы можно открыть и фасад посимпатичнее)) Коробка 25кг весит, девушка не донесет (спасибо мужу). По габаритам отлично вошёл",5,2
54,165494627,"Все в комплекте (есть шестигранник даже) Легкая сборка , если имеется шуруповерт. Красивый компактный 🩷🙌",5,2
55,165494801,"Не было дополнительных отверстий для саморезов, пришлось искать способ как сделать дырки. Разочаровали. Ещё дефекты на самом пеленальном столе.
За такую цену, могло быть и лучше. Все таки не Б/У!!!",1,0
56,165494625,"Прекрасный пеленальный комодик, стильный, места много не занимает и довольно вместительный",5,2
57,165494625,"1. Пришёл хорошо упакован.
2.Никаких дефектов
3. Все запчасти на месте 
Единственный минус но бал за это снимать не буду т.к муж с руками и для него это не проблема, нет дополнительных, пришлось сверлить самим. А так за такую сумму он не плох. Но скажу сразу,  что размерами чуть меньше чем обычный. Для маленькой квартиры где место играет огромную роль это самое то",5,2
58,165494627,"Отличный комод за такую цену! Искали на съёмную квартиру, чтоб был компактный и не дорогой, в выборе не разочаровались, однозначно рекомендую. Единственный минус - отсутствие просверленных отверстий для крепления полки под пеленальный столик. Так как на руках не имеются нужные инструменты, это доставило небольшое неудобство, потому что пришлось спрашивать у знакомых. Но в целом не могу сказать, что из за этого впечатления  испорчены, комод действительно хороший.",5,2
59,165494625,"Комод в целом хороший,пришел целый,были не значительные сколы которых не видно на расстоянии,это даже не скол краски,а лака.
Проверил все на ПВЗ но нужно было лучше,положи не тот элемент который нужно,из-за чего получилось шель между самим пеленальным столиком и выдвижным ящиком,щель не кретичная,вид не портит,но не приятно,и в следствии что не было нужного элемента пришлось подпилить торцы боковых стенок,а также засверливать стенки что бы соедить саму столещницу с комодом,дабы столик открывался до конца,и убрать вторую щель между столенщицей.
По этому три звезды.",3,1
60,165494625,"Комод понравился. За такую цену прям отлично. Заказали матрасик, ждем. Собрала быстро и легко сама. Инструкция понятная, фурнитуры хватило, единственное, как уже писали ниже, при сверлении отверстий откалывается верхний слой и сбоку прям очень неприятный скол образовался( Может, есть, конечно, лайфхак какой-то, как сверлить, чтоб не откалывалось ничего) Но мы как-то думаем об этом уже после. А так в целом я довольна.",5,2
61,165494625,"Ставлю 5, только потому что лень заморачиваться с возвратом и оставить его в том виде, в каком получили, было осознанным решением. В целом за 2800₽ комод нормальный. Но что с отверстиями? Это увлекательный был аттракцион - искать дырки, которые бы подходили, к другим дыркам. В нашем случае, я надеялась, что брак ограничится только пеленальным столом. Ну собственно, как в большинстве отзывов. Но нет! У стола они не то, что не совпадают, они находятся с разных сторон😅 То есть нам положили одинаковые запчасти, с дырками в одну и ту же сторону. Сам стол не совпадает с отверстиями основной части комода - они перепутаны местами. В итоге, в узкие отверстия для двусторонних болтов, у нас встали те, что закручиваются шестигранником. А двусторонним достались широченные дыры, в которых они провалились. Из положения вышли клеем и бичевкой. 
В общем, если есть свободные 3 часа и хочется сэкономить - берите. Если дороги нервы - это не ваш вариант.",5,2
62,165494625,"Отличный комод пеленальный столик. Муж быстро разобрался. Нечего не отрезал, как  написано в комментариях ниже. Спасибо большое продавцу. Осталась покупкой довольна и кстати упакован комод был отлично. Единственное не было 4шт белых заглушек на евровинты , на полке которая откидывается, но это не страшно, были свои, муж поставил)",5,2
63,165494802,"Положили 4 шт. детали номер 12, вместо 11. В итоге долго собирали шкаф  пока не поняли в чем проблема, так как эти детали с первого взгляда очень похожи, но у них разница в закруглении углов. Очень сильно выбесило (по другому не скажешь) рукож*тво производителя, который комплектовал этот шкаф. Так как Вайлдберриз тут явно ни при чем, в таком виде товар был выложен на склад. Вообще не рекомендую покупать товар этого производителя, из-за такого отношения.",1,0
64,165494800,"Стол максимально неустойчивый, это самый главный минус. просто миллион сколов по всем деталям. Не просверлены отверстия в некоторых местах, хотя как бы ну все равно ведь сверлили, чего не могли еще 6 дырок досверлить? Инструкция бесполезная. Правильно написал предыдущий покупатель- стол для тех, кто хочет потрепать себе нервы. Не советую к покупке!",1,0
65,165494800,"Все пришло целое,собрали бысто.На первые месяца пеленального места хватит.",5,2
66,165494626,"Что за пьяный столяр высверливал дырки. Вы считаете вот так высверлить дырки - это нормально ? Вообще не там где нужно, муж обматерил, жаль что сразу комментарии не прочитала((((

Качество - отстой. Даже Икеа была бы лучше",2,0
67,165494625,"Комод вполне приличный,смотрится симпатично. Всё было в комплекте, всего хватило. Сняли звезду только за дырочки, которые нужно самим сверлить, потому что с внешней стороны появляются сколы( И ещё у нас небольшой брак(или это так задумано, но смотрится странно)-на фото видно. Запах есть небольшой, но мне больше кажется деревом пахнет. Всё, конечно, хлипковато, но это 3000 , а не 30 000! 
А так, годненько, спасибо!",4,2
68,165494800,"Снимаю две звезды за отсутствие оконтовки и присутствие потертостей! Комод не плохой, лёгкий в сборке, вместительный,  если бы не маленькие косяки тянул бы на 5+",3,1
69,165494800,"Комод хороший.
Собрал сборщик за час.
В некотором месте не было дырок , сам сверлил.",5,2
70,165494801,"Берите и не думайте!
Цена сказка, качество превосходное, все в комплекте, собирать одно удовольствие!
Красиво, удобно. Ждем брата, дочь уже намывает)
Спасибо!",5,2
71,165494625,"Начитались разных отзывов здесь на эту модель, на ПВЗ все проверили никаких сколов и деффектов. Отличный комодик за свою цену. Из минусов могу отметить только что отверстия под ручки были недостаточно глубокими, но если у Вас руки из того места, то вряд ли станет проблемой :)",5,2
72,165494800,"Не без изъянов конечно, из за того, что на фабрике по какой то причине не могли лишние 4 дырочки просверлить, конечно получились небольшие сколы. В целом я довольна, за такую стоимость. Модернизировали колесиками и красивыми ручками.",5,2
73,165494625,"Ужасное качество !!!! 
Половину дырок просто нет ! Их не просверлили. Пришлось самому досверливать. Не понятная инструкция. Материал ручек дешевый. Разочарован данной покупкой. Не рекомендую!",1,0
74,165494627,"Супер! Все хорошо, всего хватило, все целое. На сколько долговечно и качественно время покажет. Минус только что когда столик разложен в шуфлядку не залезешь, нудно все доставать заранее. Ну и детали дешёвые конечно но пока сойдет и так.",5,2
75,165494627,"Камод красивый , спасибо, советую, сняла звезду потому что приходилось самим просверливать дырки насквозь в некоторых местах и что не устойчивый, но приспособится за такую небольшую стоимость можно.",4,2
76,165494627,"Нууу, пойдет, за такую цену то. Сам процесс сборки не очень, некоторых отверстий нет, пришлось самим проделывать.. в общем и целом хлипенький, функционирует хорошо",3,1
77,165494801,"За свои деньги очень хороший комод. Пришел быстро, все детали и винтики в наборе. Инструкцию смотрели в видео к товару. Крошется когда сверлили, но не критично. Крепление к стене тоже в комплекте. Спасибо!",5,2
78,165494625,"Отличный пеленальный комод за такую цену. Единственный нюанс,пришлось досверливать отверстия для откидной полки,а так очень даже ничего.",5,2
79,165494625,"Комод пришел в отличном состоянии, все комплектующие на месте. Ни одного скола. Очень довольна покупкой. Свою цену превзошел на 100 %",5,2
80,165494800,Не отделана кромка,2,0
81,165494800,"Очень жаль, что так много ужасных отзывов и незаслуженных низких оценок. 
Из за этого я сомневалась в покупке, но рискнула. Итог: Прекрасный комод за свои деньги, и даже лучше. Проблемы могут возникнуть только по одной причине: если вы не понимаете инструкцию. Но она более чем понятна. 
Собрал парень легко, за час примерно. 
Досверлить где то можно, это не страшно. Вот последнее фото пример. 
Я очень довольна покупкой, спасибо большое🩷 Рекомендую. 
(Еще было хорошо упаковано, ничего не сломано, все целое)",5,2
82,165494625,"Комод среднего качества. Выглядит неплохо, размерам соответствует. Но видно, что не очень устойчив. Хотя есть крепление к стене в комплекте. 
Не просверлили 10 отверстий, пришлось делать это самостоятельно. Глядя на предыдущие отзывы, пытались делать это максимально аккуратно, но все равно повредили верхнее покрытие в одном месте.",3,1
83,165494625,"Пеленальный комод за такую цену хороший, но уважаемые сборщики, никого не хочу оскорблять, не знаю где вас берут, что ж вы недокладываете детали. Не думала, что сталкнусь с этой проблемой. Написав специалисту, о недостатке детали, ответил мне быстро, но чтобы, как я понимаю доставили деталь, нужно пройти целый квест, доказывая, что это не вы профукали деталь, а неродивый сборщик. Дороже выйдет себе.",1,0
84,165494627,"Очень понравился, собрали быстро, комплект полный. Дополнительно ничего сверлить не пришлось",5,2
85,165494625,"Хороший! В отличии он тех , что представлены в магазинах от 5500 и выше, даже сказала бы ОТЛИЧНЫЙ за 3000. По поводу сборки.... как читала отзывы что кривой и косой... не правда. Если только Ваш сборщик не руко#оп. Всё ровно, все открывается, выдвигается, все Ок. ЕДИНСТВЕННОЕ - это правда нет 1 отверстия на пеленальном отделе ( сделать её 2 секунды) . Вообщем покупкой довольны",5,2
86,165494626,"Товар хороший,собрали быстро.Но задняя стенка сломана.И при сборке не совпадало",3,1
87,165494625,"Привет молодой родитель! Знаю, что сложно выбирать мебель для своей крохи, и я тоже попал в эту ловушку. Несколько дней потрачено, долго искаи комод, ездили смотрели - мне показалось продается один хлам
И в итоге мы решили не покупать 5 досок непонятно из чего за 15к под видом массива , а купить их за 2.5 :) всё равно пол года его можно отдать в добрые руки и купить уже  большой комод без пеленания.
На фото объем верхнего ящика и внутренних 
Пришел с парой сколов, 
ручки портят вид, они просто некачественные, когда я их закрутил, они в стыковых частях 2 из 3 шт немного разъехались на 0.2-0.5 см. надо поменять будет
Собирал часа 3, если бы были дырки под ножки, и не пришлось бы их сверлить - заняло поменьше
Инструкция так себе, пришлось сначала мерить доски, чтобы понять что и куда) 
За свои деньги в целом  отличный комод
А если бы вы сделали его с 3 горизонтальными ящиками - а не с 1 - цены бы ему не было :)",5,2
88,165494626,"Комод на 3000 тянет
Не понимаю почему на произврдстве сразу не могли просверлить пеленальный стол.
При сверлении отколупался верхний слой 
Где ручки тоже не просверлили , тоже отколупался верхний слой
А так , очень не плохой комод за свою цену,нам понравился ,внутри вместительный",5,2
89,165494625,"Комод отличный! Не понимаю негативных отзывов. Стоит твердо на полу, не шатается, вместительный. Муж собрал за 3 часа, единственный минус - некоторых отверстий не было, пришлось сверлить, а в целом все хорошо.",5,2
90,165494626,"Хороший комодик. Пришёл без сколов и повреждений. Как было ранее написано, необходимо досверливать отверстия. Качеством довольна.",5,2
91,165494801,Супер❤️,5,2
92,165494626,"Комод хорошо упакован, цвет соответствует, фурнитура вся в наличии. Само качество на 3-ку, но качество соответствует низкой стоимости)",4,2
93,165494626,"Комод не плохой! Но есть нюансы про котоые я вам сейчас расскажу, половины дырок нет, мужу пришлось их проделывать самому, одно неловкое движение опилка рассыпается, надо прям как с хрусталью обращаться. Инструкция на самом деле не понятная, она нам и не понадобилась, благо муж умелый сориентировался. И когда выдвигаешь пеленалтный стол, кажется что вот вот комод перевернется, пришлось к стенке прибивать на одном саморезе, подручным способом",4,1
94,165494625,"Доставка вовремя, по инструкции собрали с сыном за 30-40 минут. Царапин, сколов нет. Комплектация соответствует. В одной детали не хватало отверстия, а во второй такой же их 2 ))) но это совсем не беда, просверлили и готово) камеди соответствует фото и описанию. Спасибо большое!",5,2
95,165494625,"Сам по себе комод хороший, правда я думала, что он повыше будет.. Собрать возможно, но к сожалению, отверстия под ручки - не сквозные ( нужно просверливать насквозь, мы шуруповертом смогли) и отверстия для скоадывания пеленального столика- не сквозные ): когда их сверлишь, потом неровно получается столик откидной , одна часть чуть ниже",2,1
