,text,rating,mood,lemmatized_review
10,"Всё отлично, полный комплект, даже с запасом. Собирать не долго и не сложно, но по инструкции понадобилось сверло.",4,positive,"все отлично, полный комплект, даже с запас. собирать не долго и не сложно, но по инструкция понадобиться сверло.
"
11,"Хороший комод и столик, для за такие деньги ещё.",5,positive,"хороший комод и столик, для за такой деньги еще.
"
12,Всё в хорошем состоянии. Собрали за два часа.,5,positive,"все в хороший состояние. собирать за два час.
"
13,"Пеленальный стол сломанный , углы отколоты! Возврат не одобряют и на сообщение продавец не отвечает! Деньги так и не вернул никто. Куда обращаться ? Очень ждала товар, жаль, что так вышло. На фото один из косяков.",1,negative,"пеленальный стол сломать , угол откалывать! возврат не одобрять и на сообщение продавец не отвечать! деньги так и не вернуть никто. куда обращаться ? очень ждать товар, жаль, что так выходить. на фото один из косяк.
"
14,"Пришло всё в отличной упаковке, в полной комплектации, спасибо.",5,positive,"приходить все в отличный упаковка, в полный комплектация, спасибо.
"
15,"Все супер, в живую еще круче чем на фото, полная комплектация, все детали на месте, собрали быстро, никаких сколов и других недочетов, благодарю🙏🏻❤️
Пока не крепили к стене, но в дальнейшем планируем, не совсем поняли куда крепить?",5,positive,"все супер, в живой еще крутой чем на фото, полный комплектация, все деталь на место, собирать быстро, никакой скол и другой недочет, благодарить🙏🏻❤️
пока не крепить к стена, но в дальнейший планировать, не совсем понимать куда крепить?
"
16,Муж собрал достаточно быстро. Не было нескольких дырочек (где пеленальная доска). В целом хороший комод.,4,positive,"муж собирать достаточно быстро. не быть несколько дырочка (где пеленальный доска). в целое хороший комод.
"
17,"Боялась заказывать этот комод из-за низкого рейтинга товара, боялась, что придет сломанный, но нам повезло, хороший комод
Был комментарий, насчет того, что не проделано отверстие в пеленальном столе, так оно и есть, но муж просто просверлил и доковырял. Одну сторону не получилось аккуратно, отлетел кусок дерева, но за слава богу не видно этого, перекрыто механизмом складывания.",5,positive,"бояться заказывать этот комод из-за низкий рейтинг товар, бояться, что прийти сломать, но мы везти, хороший комод
быть комментарий, насчет то, что не проделывать отверстие в пеленальный стол, так оно и быть, но муж просто просверливать и доковырять. один сторона не получаться аккуратно, отлетать кусок дерево, но за слава бог не видно этот, перекрывать механизм складывание.
"
18,"Все собрали, все детали хватает, есть видео инструкция,  есть бумажная. О том что надо сверлить в одном месте указано в инструкции. Единственное не поняли почему на дверце по 2 дырочки и сверху и снизу, и для ручек отверстие на сквозь не продырявлено. 
Матрасик заказывала отдельно на столик 60×60 я заказала матрасик 64×64, в идеале было бы 70×70 чтобы все борта были закрыты. Но этот тоже хорошо подошёл.",5,positive,"все собирать, все деталь хватать, быть видео инструкция,  быть бумажный. о то что надо сверлить в один место указывать в инструкция. единственный не понимать почему на дверца по 2 дырочка и сверху и снизу, и для ручка отверстие на сквозь не продырявливать. 
матрасик заказывать отдельно на столик 60×60 я заказывать матрасик 64×64, в идеал быть бы 70×70 чтобы весь борт быть закрывать. но этот тоже хорошо подходить.
"
19,"Отличная вещь, производителю и продавцу сто звёзд, спасибо большое, советую этот товар 👍👍🤝",5,positive,"отличный вещь, производитель и продавец сто звезда, спасибо большой, советовать этот товар 👍👍🤝
"
20,Все очень понравилось советую покупки￼👍,5,positive,"все очень понравиться советовать покупка￼👍
"
21,"Пеленальный комод за свою цену очень хороший. Не были просверлены некоторые отверстия (фото 1), в отзывах писали об этом, так что мы были готовы к этому, в инструкции про сверления не было информации. 
В целом, все устрвивает.",5,positive,"пеленальный комод за свой цена очень хороший. не быть просверливать некоторый отверстие (фото 1), в отзыв писать об это, так что мы быть готовый к это, в инструкция про сверление не быть информация. 
в целое, все устрвивать.
"
22,"Качество соответствует цена,собрали сами без проблем. Всё было на месте.",5,positive,"качество соответствовать цена,собирать сам без проблема. все быть на место.
"
23,"Качество комода так себе-весь косой-кривой. Но с учетом цены и то, что он не на долгий срок-пойдет.",3,neutral,"качество комод так себе-весь косой-кривая. но с учет цена и то, что он не на долгий срок-пойти.
"
24,"Комод очень понравился. 
Доставка - во время, цена - приятная.
Товар соответствует описанию,
Минус - 2 отверстия пришлось сверлить самим, в остальном всё норм, все детальки были на месте.
(Минус, если пеленальный столик расправить, нужно быть очень осторожным, т.к. может упасть вреред. Сделали дополнительную фиксацию к стене.)",5,positive,"комод очень понравиться. 
доставка - во время, цена - приятный.
товар соответствовать описание,
минус - 2 отверстие приходиться сверлить сам, в остальное все норма, весь деталька быть на место.
(минус, если пеленальный столик расправлять, нужно быть очень осторожный, т.к. мочь упасть вреред. сделать дополнительный фиксация к стена.)
"
25,"Хороший пеленальный комод.
За свою цену вообще отлично. 👌",5,positive,"хороший пеленальный комод.
за свой цена вообще отлично. 👌
"
26,"Не хватает детали ,все собрали .
Так обидно за такие деньги💔",5,neutral,"не хватать деталь ,все собирать .
так обидно за такой деньги💔
"
27,"Плюсы: полный комплект, всё на месте, собирается быстро, доставка быстрая, функционально.
Минусы: отверстия недосверлены, проиктировался как универсальный и есть лишние отверстия в дверках, при раскладывании подвижная сторона выше на 5 мм.",4,neutral,"плюс: полный комплект, все на место, собираться быстро, доставка быстрый, функционально.
минус: отверстие недосверливать, проиктироваться как универсальный и быть лишний отверстие в дверка, при раскладывание подвижный сторона высоко на 5 мм.
"
28,"По качеству материалов комод стоит своих денег, а вот по качеству укомплектования и некоторой фурнитуры есть вопросы, найдите 10 отличий называется. На самом пелинальном столике накосячили с комплектующими, либо 2 правый либо 2 левые откидные доски, придется сверлить отверстие самому",3,neutral,"по качество материал комод стоить свой деньги, а вот по качество укомплектование и некоторый фурнитура быть вопрос, находить 10 отличие называться. на самый пелинальный столик накосячить с комплектовать, либо 2 правый либо 2 левый откидной доска, приходиться сверлить отверстие сам
"
29,"Приехала коробка вся разбитая. Держалась на честном слове. Видимо со склада отгружали как мешок, кинули и всё. Почти все  углы побитые и помятые. Отверстия под раскладной столик и чтоб прикрутить ручку и на дверцы сверлили сами. Их просто не было. Если бы в наборе для крепления были саморезы, я бы ещё поняла. Но в комплекте идут обычные болты... Так что при сборке готовьте и сверло тоже.",3,negative,"приезжать коробка весь разбивать. держаться на честный слово. видимо со склад отгружать как мешок, кинуть и все. почти весь  угол побивать и помять. отверстие под раскладной столик и чтоб прикручивать ручка и на дверца сверлить сам. они просто не быть. если бы в набор для крепление быть саморез, я бы еще понимать. но в комплект идти обычный болт... так что при сборка готовить и сверло тоже.
"
30,"Ещё не собирали, только открыли уже видно вмятины. Это дверь и она повреждена",3,negative,"еще не собирать, только открывать уже видно вмятина. это дверь и она повреждать
"
31,"Хорошего качества, компактный и одновременно вместительный, достаточно места для ребенка. Собирала сама, всё очень ясно и понятно по инструкции. Правда для крепления ручек и пеленальной поверхности нужно просверлить насквозь отверсия, но об этом я читала в комментариях, это не проблема. Очень довольна покупкой. Хорошая мебель.",5,positive,"хороший качество, компактный и одновременно вместительный, достаточно место для ребенок. собирать сам, все очень ясно и понятный по инструкция. правда для крепление ручка и пеленальный поверхность нужно просверливать насквозь отверсия, но об это я читать в комментарий, это не проблема. очень довольный покупка. хороший мебель.
"
32,"Из-за большого количества отрицательных отзывов долго сомневалась стоит ли заказывать , но нам повезло, комплектация полная , доски все  без сколов, да , как и у всех нам пришлось сверлить отверстия на выдвижных деталях , но муж без проблем это сделал, если делать все аккуратно и с умом то таких сколов как у многих не получится , да краска скололась чуть чуть но под болтами вообще не заметно (фото4), видно только на ручках не много (последнее фото) , там надо тоже просверливать отверстие самостоятельно, но с учетом цены в 3200 это все вообще мелочи, пеленальный столик открывается хорошо, без всяких зазоров, я довольна",5,positive,"из-за большой количество отрицательный отзыв долго сомневаться стоить ли заказывать , но мы везти, комплектация полный , доска все  без скол, да , как и у все мы приходиться сверлить отверстие на выдвижной деталь , но муж без проблема это сделать, если делать все аккуратно и с ум то такой скол как у многий не получаться , да краска скалываться чуть чуть но под болт вообще не заметно (фото4), видно только на ручка не много (последний фото) , там надо тоже просверливать отверстие самостоятельно, но с учет цена в 3200 это все вообще мелочь, пеленальный столик открываться хорошо, без всякий зазор, я довольный
"
33,"Комод хороший, собрала за пару часов. Много потертостей по краям стенок, буду маскировать акриловой краской. Шурупы и гвозди большая часть очень тупые, пришлось помучаться. А так очень удобный, классный",5,positive,"комод хороший, собирать за пара час. много потертость по край стенка, быть маскировать акриловый краска. шуруп и гвоздь большой часть очень тупой, приходиться помучаться. а так очень удобный, классный
"
34,"Комод супер, очень компактный что удобно для тех кто зочет экономить место. все доски проверили , все отлично брака нет! Цена 🔥) рекомендую на 100%",5,positive,"комод супер, очень компактный что удобно для тот кто зочет экономить место. весь доска проверять , весь отлично брак нет! цена 🔥) рекомендовать на 100%
"
35,"Пришол в хорошем состоянии , инструкция легкая . Все доски в идеальном состоянии .
Муж собрал быстро . 
За такую стоимость , идеальный вариант .",5,positive,"пришол в хороший состояние , инструкция легкий . весь доска в идеальный состояние .
муж собирать быстро . 
за такой стоимость , идеальный вариант .
"
36,"Очень классный бюджетный комодик. Все пришло целое, без сколов как некоторые пишут. Внутри подробная инструкция, в которой кстати написано и про дырочки, что нужно самим досверлить, просто видимо многие невнимательно смотрят инструкцию. Муж собрал за 20 минут и отметил, что хорошие гвозди в комплекте. 
Единственное что заменили, это ручки на более эстетичные деревянные. Очень довольны комодиком!",5,positive,"очень классный бюджетный комодик. все приходить целое, без скол как некоторые писать. внутри подробный инструкция, в который кстати написать и про дырочка, что нужно сам досверливать, просто видимо многий невнимательно смотреть инструкция. муж собирать за 20 минута и отмечать, что хороший гвоздь в комплект. 
единственный что заменять, этот ручка на более эстетичный деревянный. очень довольный комодик!
"
37,"Комод прелестный😍 Муж собрал быстро и без проблем. Детали все на месте. Никаких сколов, трещин и перекосов. Красота👍 За такие деньги - подарок просто! Рекомендую.",5,positive,"комод прелестный😍 муж собирать быстро и без проблема. деталь все на место. никакой скол, трещина и перекос. красота👍 за такой деньги - подарок просто! рекомендовать.
"
38,"В полне приличный комод, малышу до 3 мес пользования...далее дите не поместиться ,при сборке некоторых отверстий не было ,делали все на месте,пришёл комод без сколов( за это отдельное спасибо) доп фиксация необходима ( предусмотрена в комплекте)  ,тк комод заваливается вперёд, в целом понравился ,думаю в дальнейшем можно использовать как обувницу.",5,positive,"в полне приличный комод, малыш до 3 мес пользование...далее дита не помещаться ,при сборка некоторый отверстие не быть ,делать все на место,приходить комод без скол( за этот отдельный спасибо) допы фиксация необходимый ( предусматривать в комплект)  ,тк комод заваливаться вперед, в целое понравиться ,думать в дальнейший можно использовать как обувница.
"
39,"Комод компактный, но качество это ужас, все шурупы проворачиваются скрипят , сразу крошится всё белое покрытие , вот что значит( ЛДСП крошка ) , плюс размер маленький до полугода только хватит этого пеленальника. Направляющие для ящика не надолго , лучше покупать шариковые . Муж пока собирал весь изнервничался. Сказал я бы такой не купил.",1,negative,"комод компактный, но качество это ужас, весь шуруп провертываться скрипеть , сразу крошиться все белый покрытие , вот что значить( ЛДСП крошка ) , плюс размер маленький до полгода только хватить этот пеленальник. направляющий для ящик не надолго , хорошо покупать шариковый . муж пока собирать весь изнервничаться. сказать я бы такой не купить.
"
40,"Спасибо всем, кто причастен к производству, доставке данного товара. Нам очень понравился пеленальный столик. Всё аккуратное, целое, болты (детали) все на  месте. Рекомендуем.",5,positive,"спасибо все, кто причастный к производство, доставка данный товар. мы очень понравиться пеленальный столик. весь аккуратный, целое, болт (деталь) все на  место. рекомендовать.
"
41,"Инструкции подробные, несколько раз пересматривала видео. Да, вопрос, почему не просверлено до конца? У нас так чисто, без сколов не получилось.
Есть небольшие сколы на панелях, в самом видном месте.  ***  но не критично. Хорошая фишка, крепление к стене для безопасности.
Но цена, цена решает все.",5,positive,"инструкция подробный, несколько раз пересматривать видео. да, вопрос, почему не просверливать до конец? у мы так чисто, без скол не получаться.
быть небольшой скол на панель, в самый видный место.  ***  но не критично. хороший фишка, крепление к стена для безопасность.
но цена, цена решать весь.
"
42,"Во первых упаковка, отлично упаковано, с пенопластом и тд, но приехала в скрытая коробка, просто закрученная скотчем и то еле еле, местами не правильно высверлены отверстия, но это ерунда, самое главное для петель очень уж не внушают доверия саморезы слишком узкие шляпки",5,positive,"во первый упаковка, отлично упаковывать, с пенопласт и тд, но приезжать в скрытый коробка, просто закручивать скотч и то еле еле, место не правильно высверливать отверстие, но это ерунда, самый главный для петля очень уж не внушать доверие саморез слишком узкий шляпка
"
43,"В комплект комода входили все детали. Цвет больше ч/б, по карточке товара думала что он молочный. 
По самой конструкции есть минусы: белая серединка задника вся кривая и словно сломанная, ели состыковали; у пеленальной части пришлось досверливать отверстия, чтобы вставить крепления. Сам материал комода достаточно рыхлый, поэтому нужно аккуратно закручивать все крепежи, иначе скривится",4,negative,"в комплект комод входить все деталь. цвет много ч/б, по карточка товар думать что он молочный. 
по самый конструкция быть минус: белый серединка задник весь кривой и словно сломать, есть состыковать; у пеленальный часть приходиться досверливать отверстие, чтобы вставлять крепление. сам материал комод достаточно рыхлый, поэтому нужно аккуратно закручивать весь крепеж, иначе скривиться
"
44,"Всё прекрасно! Все детали в наличии. Без сколов. Очень понравилось. Доставили быстро. Собрала сама.

Дополнительно нужна дрель для вырезки отверстия для крутящего механизма пеленальной полки. 
И нужна крестовая отвёртка. 

Собирала по видео. Всё легко✅",5,positive,"все прекрасный! все деталь в наличие. без скол. очень понравиться. доставлять быстро. собирать сам.

дополнительно нужный дрель для вырезка отверстие для крутить механизм пеленальный полка. 
и нужный крестовый отвертка. 

собирать по видео. все легкий✅
"
45,"Отличное качество , упаковка 10/10, в сборке очень прост🤝. Рассладывается идеально , рукчка в норме , дверки регулируются , никаких нареканий нет. Спасибо большое 🤗",5,positive,"отличный качество , упаковка 10/10, в сборка очень простой🤝. рассладываться идеально , рукчко в норма , дверка регулироваться , никакой нарекание нет. спасибо большой 🤗
"
46,Хороший комод,5,positive,"хороший комод
"
47,"Србирается достаточно легко,за свою цену комод идеальный,маленький ,но вместительный,пришел быстро и без брака😊",5,positive,"србираться достаточно легко,за свой цена комод идеальный,маленький ,но вместительный,приходить быстро и без брак😊
"
48,"Пришел быстро, без брака. Но тумбу лучше присверлить к стенке на уголок что в комплекте т.к. не очень устойчивая.",5,positive,"приходить быстро, без брак. но тумба хорошо присверлить к стенка на уголок что в комплект т.к. не очень устойчивый.
"
49,"Долго думали какую поставить оценку.
Сам комод хороший, вместительный, идеальный по высоте. 
НО!  Во многих деталях, где должны были быть сквозные отверстия- их не досверлили. Сделали это сами- из-за этого получились сколы. Большинство из них скрыты, но один очень заметен, придется как-то маскировать.",3,neutral,"долго думать какой поставлять оценка.
сам комод хороший, вместительный, идеальный по высота. 
но!  во многий деталь, где должный быть быть сквозной отверстие- они не досверливать. сделать это сам- из-за это получаться скол. большинство из они скрывать, но один очень заметный, приходиться как-то маскировать.
"
50,"Отличный удобный комод,да,есть небольшие сколы,но не критично,очень удобная система откидывание столика,не было просверлено пара отверстий,при сборке надо иметь шуруповерт и сверла,в остальном можно справиться и отвертками,собрала за полтора часа,с удовольствием",5,positive,"отличный удобный комод,да,быть небольшой скол,но не критично,очень удобный система откидывание столик,не быть просверливать пара отверстие,при сборка надо иметь шуруповерт и сверло,в остальное можно справляться и отвертка,собирать за полтора час,с удовольствие
"
51,"Отличный комод еще и за 3300. Кое-что пришлось конечно просверлить (муж не очень понял прикол, почему нельзя было сделать сразу отверстия везде где необходимо), но в целом все хорошо. Все детали были в комплекте, комод не перекошен. По качеству сравним с мебелью икеа (к слову, если переусердствовать, то и там бывают сколы). Очень рада, что приобрели именно его.",5,positive,"отличный комод еще и за 3300. кое-что приходиться конечно просверливать (муж не очень понимать прикол, почему нельзя быть сделать сразу отверстие везде где необходимо), но в целое все хорошо. все деталь быть в комплект, комод не перекашивать. по качество сравнимый с мебель икеа (к слово, если переусердствовать, то и там бывать скол). очень рад, что приобретать именно он.
"
52,"Целый, качественный. Ничем химическим не пахнет, фурнитура в полном комплекте. Пеленальная часть по инструкции крепится путем дополнительного сверления 2х отверстий. Это всё прописано в инструкции. Никаких сюрпризов. Муж собрал за 1,5 часа, вышло дольше, чем планировали, тк инструкция слишком мелким шрифтом))) это минус)) мееееелко, на маааааленькой бумажке)) 
И из нюансов - обратите внимание, что мягкую часть нужно докупать. Она не предусмотрена с комплекте.",5,positive,"целый, качественный. ничто химический не пахнуть, фурнитура в полный комплект. пеленальный часть по инструкция крепиться путем дополнительный сверление 2х отверстие. это весь прописывать в инструкция. никакой сюрприз. муж собирать за 1,5 час, выходить долго, чем планировать, тк инструкция слишком мелкий шрифт))) это минус)) мееееелко, на маааааленький бумажка)) 
и из нюанс - обращать внимание, что мягкий часть нужно докупать. она не предусматривать с комплект.
"
53,"Отличный комод за такие деньги!
Да, пришлось досверливать боковые панели на откидном столике (благо сверла нужные нашлись). Как оказалось в инструкции прописано, что нужно досверливать отверстия насквозь, так что учтите это при заказе. А ручки решили не приделывать и без них дверцы можно открыть и фасад посимпатичнее)) Коробка 25кг весит, девушка не донесет (спасибо мужу). По габаритам отлично вошёл",5,positive,"отличный комод за такой деньги!
да, приходиться досверливать боковой панель на откидной столик (благо сверло нужный находиться). как оказываться в инструкция прописывать, что нужно досверливать отверстие насквозь, так что учитывать это при заказ. а ручка решать не приделывать и без они дверца можно открывать и фасад симпатичный)) коробка 25кг весить, девушка не доносить (спасибо муж). по габарит отлично входить
"
